,SUL name,HypSizePercent,CTT,Total cost
47,OpenSSH.dot,3.225806451612903,HadsInt,44
47,OpenSSH.dot,6.451612903225806,HadsInt,198
47,OpenSSH.dot,12.903225806451612,HadsInt,723
47,OpenSSH.dot,16.129032258064516,HadsInt,2959
47,OpenSSH.dot,19.35483870967742,HadsInt,7601
47,OpenSSH.dot,22.58064516129032,HadsInt,8947
47,OpenSSH.dot,29.03225806451613,HadsInt,29594
47,OpenSSH.dot,38.70967741935484,HadsInt,33056
47,OpenSSH.dot,45.16129032258064,HadsInt,94551
47,OpenSSH.dot,48.38709677419355,HadsInt,98003
47,OpenSSH.dot,51.61290322580645,HadsInt,149666
47,OpenSSH.dot,54.83870967741935,HadsInt,152338
47,OpenSSH.dot,58.06451612903226,HadsInt,462395
47,OpenSSH.dot,61.29032258064516,HadsInt,1107187
47,OpenSSH.dot,67.74193548387096,HadsInt,1197902
47,OpenSSH.dot,74.19354838709677,HadsInt,1268405
47,OpenSSH.dot,77.41935483870968,HadsInt,2460773
47,OpenSSH.dot,80.64516129032258,HadsInt,3481051
47,OpenSSH.dot,87.09677419354838,HadsInt,3566035
47,OpenSSH.dot,90.32258064516128,HadsInt,4367026
47,OpenSSH.dot,93.54838709677419,HadsInt,5132908
47,OpenSSH.dot,100.0,HadsInt,5493674
180,OpenSSH.dot,3.225806451612903,Hsi,44
180,OpenSSH.dot,6.451612903225806,Hsi,198
180,OpenSSH.dot,12.903225806451612,Hsi,723
180,OpenSSH.dot,16.129032258064516,Hsi,2959
180,OpenSSH.dot,19.35483870967742,Hsi,7601
180,OpenSSH.dot,22.58064516129032,Hsi,8947
180,OpenSSH.dot,29.03225806451613,Hsi,29594
180,OpenSSH.dot,38.70967741935484,Hsi,33056
180,OpenSSH.dot,45.16129032258064,Hsi,94551
180,OpenSSH.dot,48.38709677419355,Hsi,98003
180,OpenSSH.dot,51.61290322580645,Hsi,99799
180,OpenSSH.dot,54.83870967741935,Hsi,102097
180,OpenSSH.dot,58.06451612903226,Hsi,377347
180,OpenSSH.dot,61.29032258064516,Hsi,679828
180,OpenSSH.dot,67.74193548387096,Hsi,762618
180,OpenSSH.dot,74.19354838709677,Hsi,827319
180,OpenSSH.dot,77.41935483870968,Hsi,1834069
180,OpenSSH.dot,80.64516129032258,Hsi,2379702
180,OpenSSH.dot,87.09677419354838,Hsi,2464656
180,OpenSSH.dot,90.32258064516128,Hsi,3203706
180,OpenSSH.dot,93.54838709677419,Hsi,3302560
180,OpenSSH.dot,100.0,Hsi,3664139
280,OpenSSH.dot,3.225806451612903,Wp,44
280,OpenSSH.dot,6.451612903225806,Wp,198
280,OpenSSH.dot,12.903225806451612,Wp,723
280,OpenSSH.dot,16.129032258064516,Wp,4559
280,OpenSSH.dot,19.35483870967742,Wp,13006
280,OpenSSH.dot,29.03225806451613,Wp,48996
280,OpenSSH.dot,32.25806451612903,Wp,51828
280,OpenSSH.dot,38.70967741935484,Wp,54297
280,OpenSSH.dot,41.935483870967744,Wp,195488
280,OpenSSH.dot,45.16129032258064,Wp,201909
280,OpenSSH.dot,48.38709677419355,Wp,307398
280,OpenSSH.dot,51.61290322580645,Wp,1589104
280,OpenSSH.dot,54.83870967741935,Wp,1599144
280,OpenSSH.dot,58.06451612903226,Wp,1604319
280,OpenSSH.dot,64.51612903225806,Wp,1828301
280,OpenSSH.dot,67.74193548387096,Wp,2587385
280,OpenSSH.dot,70.96774193548387,Wp,2595653
280,OpenSSH.dot,74.19354838709677,Wp,3219142
280,OpenSSH.dot,77.41935483870968,Wp,3407627
280,OpenSSH.dot,80.64516129032258,Wp,4405374
280,OpenSSH.dot,87.09677419354838,Wp,4533165
