,SUL name,HypSizePercent,CTT,Total cost
58,learnresult_fix.dot,11.11111111111111,H-ADS,30
58,learnresult_fix.dot,44.44444444444444,H-ADS,300
58,learnresult_fix.dot,55.55555555555556,H-ADS,14166
58,learnresult_fix.dot,66.66666666666666,H-ADS,36799
58,learnresult_fix.dot,88.88888888888889,H-ADS,60765
58,learnresult_fix.dot,100.0,H-ADS,63808
126,learnresult_fix.dot,11.11111111111111,HSI,30
126,learnresult_fix.dot,44.44444444444444,HSI,300
126,learnresult_fix.dot,55.55555555555556,HSI,14166
126,learnresult_fix.dot,66.66666666666666,HSI,36799
126,learnresult_fix.dot,88.88888888888889,HSI,60765
126,learnresult_fix.dot,100.0,HSI,63808
251,learnresult_fix.dot,11.11111111111111,W,30
251,learnresult_fix.dot,44.44444444444444,W,300
251,learnresult_fix.dot,55.55555555555556,W,14166
251,learnresult_fix.dot,66.66666666666666,W,27911
251,learnresult_fix.dot,77.77777777777779,W,58601
251,learnresult_fix.dot,88.88888888888889,W,60452
251,learnresult_fix.dot,100.0,W,90656
262,learnresult_fix.dot,11.11111111111111,Wp,30
262,learnresult_fix.dot,44.44444444444444,Wp,300
262,learnresult_fix.dot,55.55555555555556,Wp,14166
262,learnresult_fix.dot,66.66666666666666,Wp,46491
262,learnresult_fix.dot,77.77777777777779,Wp,61305
262,learnresult_fix.dot,88.88888888888889,Wp,64316
262,learnresult_fix.dot,100.0,Wp,69837
377,learnresult_fix.dot,11.11111111111111,H,30
377,learnresult_fix.dot,44.44444444444444,H,300
377,learnresult_fix.dot,55.55555555555556,H,17637
377,learnresult_fix.dot,66.66666666666666,H,38662
377,learnresult_fix.dot,77.77777777777779,H,41362
377,learnresult_fix.dot,88.88888888888889,H,42463
377,learnresult_fix.dot,100.0,H,66027
571,learnresult_fix.dot,11.11111111111111,SPY-H,30
571,learnresult_fix.dot,44.44444444444444,SPY-H,300
571,learnresult_fix.dot,55.55555555555556,SPY-H,14849
571,learnresult_fix.dot,66.66666666666666,SPY-H,34279
571,learnresult_fix.dot,88.88888888888889,SPY-H,48033
571,learnresult_fix.dot,100.0,SPY-H,73267
623,learnresult_fix.dot,11.11111111111111,SPY,30
623,learnresult_fix.dot,44.44444444444444,SPY,300
623,learnresult_fix.dot,55.55555555555556,SPY,2720
623,learnresult_fix.dot,66.66666666666666,SPY,4797
623,learnresult_fix.dot,77.77777777777779,SPY,11592
623,learnresult_fix.dot,88.88888888888889,SPY,21541
623,learnresult_fix.dot,100.0,SPY,33442
