,SUL name,HypSizePercent,CTT,Total cost
78,GnuTLS_3.3.8_server_full.dot,6.25,HSI,22
78,GnuTLS_3.3.8_server_full.dot,12.5,HSI,99
78,GnuTLS_3.3.8_server_full.dot,18.75,HSI,774
78,GnuTLS_3.3.8_server_full.dot,37.5,HSI,1648
78,GnuTLS_3.3.8_server_full.dot,56.25,HSI,2225
78,GnuTLS_3.3.8_server_full.dot,62.5,HSI,2571
78,GnuTLS_3.3.8_server_full.dot,68.75,HSI,17714
78,GnuTLS_3.3.8_server_full.dot,75.0,HSI,18015
78,GnuTLS_3.3.8_server_full.dot,81.25,HSI,18052
78,GnuTLS_3.3.8_server_full.dot,87.5,HSI,79771
78,GnuTLS_3.3.8_server_full.dot,93.75,HSI,79979
78,GnuTLS_3.3.8_server_full.dot,100.0,HSI,81139
188,GnuTLS_3.3.8_server_full.dot,6.25,H-ADS,22
188,GnuTLS_3.3.8_server_full.dot,12.5,H-ADS,99
188,GnuTLS_3.3.8_server_full.dot,18.75,H-ADS,774
188,GnuTLS_3.3.8_server_full.dot,37.5,H-ADS,1648
188,GnuTLS_3.3.8_server_full.dot,56.25,H-ADS,2225
188,GnuTLS_3.3.8_server_full.dot,62.5,H-ADS,2671
188,GnuTLS_3.3.8_server_full.dot,68.75,H-ADS,17959
188,GnuTLS_3.3.8_server_full.dot,75.0,H-ADS,18595
188,GnuTLS_3.3.8_server_full.dot,81.25,H-ADS,18692
188,GnuTLS_3.3.8_server_full.dot,87.5,H-ADS,81085
188,GnuTLS_3.3.8_server_full.dot,93.75,H-ADS,81305
188,GnuTLS_3.3.8_server_full.dot,100.0,H-ADS,82729
295,GnuTLS_3.3.8_server_full.dot,6.25,Wp,22
295,GnuTLS_3.3.8_server_full.dot,12.5,Wp,99
295,GnuTLS_3.3.8_server_full.dot,18.75,Wp,774
295,GnuTLS_3.3.8_server_full.dot,37.5,Wp,1037
295,GnuTLS_3.3.8_server_full.dot,56.25,Wp,1595
295,GnuTLS_3.3.8_server_full.dot,62.5,Wp,21388
295,GnuTLS_3.3.8_server_full.dot,68.75,Wp,21540
295,GnuTLS_3.3.8_server_full.dot,75.0,Wp,21666
295,GnuTLS_3.3.8_server_full.dot,81.25,Wp,45548
295,GnuTLS_3.3.8_server_full.dot,87.5,Wp,139462
295,GnuTLS_3.3.8_server_full.dot,93.75,Wp,139664
295,GnuTLS_3.3.8_server_full.dot,100.0,Wp,144665
336,GnuTLS_3.3.8_server_full.dot,6.25,W,22
336,GnuTLS_3.3.8_server_full.dot,12.5,W,99
336,GnuTLS_3.3.8_server_full.dot,18.75,W,774
336,GnuTLS_3.3.8_server_full.dot,37.5,W,1647
336,GnuTLS_3.3.8_server_full.dot,56.25,W,3370
336,GnuTLS_3.3.8_server_full.dot,62.5,W,52861
336,GnuTLS_3.3.8_server_full.dot,68.75,W,61233
336,GnuTLS_3.3.8_server_full.dot,75.0,W,62566
336,GnuTLS_3.3.8_server_full.dot,81.25,W,108725
336,GnuTLS_3.3.8_server_full.dot,87.5,W,521452
336,GnuTLS_3.3.8_server_full.dot,93.75,W,538383
336,GnuTLS_3.3.8_server_full.dot,100.0,W,630615
435,GnuTLS_3.3.8_server_full.dot,6.25,H,22
435,GnuTLS_3.3.8_server_full.dot,12.5,H,99
435,GnuTLS_3.3.8_server_full.dot,18.75,H,467
435,GnuTLS_3.3.8_server_full.dot,37.5,H,3141
435,GnuTLS_3.3.8_server_full.dot,56.25,H,3821
435,GnuTLS_3.3.8_server_full.dot,68.75,H,28974
435,GnuTLS_3.3.8_server_full.dot,75.0,H,29017
435,GnuTLS_3.3.8_server_full.dot,81.25,H,30563
435,GnuTLS_3.3.8_server_full.dot,93.75,H,36620
435,GnuTLS_3.3.8_server_full.dot,100.0,H,45839
463,GnuTLS_3.3.8_server_full.dot,6.25,SPY-H,22
463,GnuTLS_3.3.8_server_full.dot,12.5,SPY-H,99
463,GnuTLS_3.3.8_server_full.dot,18.75,SPY-H,242
463,GnuTLS_3.3.8_server_full.dot,37.5,SPY-H,2597
463,GnuTLS_3.3.8_server_full.dot,50.0,SPY-H,23164
463,GnuTLS_3.3.8_server_full.dot,56.25,SPY-H,26174
463,GnuTLS_3.3.8_server_full.dot,62.5,SPY-H,30829
463,GnuTLS_3.3.8_server_full.dot,68.75,SPY-H,51430
463,GnuTLS_3.3.8_server_full.dot,75.0,SPY-H,54524
463,GnuTLS_3.3.8_server_full.dot,81.25,SPY-H,68398
463,GnuTLS_3.3.8_server_full.dot,87.5,SPY-H,68435
463,GnuTLS_3.3.8_server_full.dot,93.75,SPY-H,70127
463,GnuTLS_3.3.8_server_full.dot,100.0,SPY-H,79844
526,GnuTLS_3.3.8_server_full.dot,6.25,SPY,22
526,GnuTLS_3.3.8_server_full.dot,12.5,SPY,99
526,GnuTLS_3.3.8_server_full.dot,18.75,SPY,1176
526,GnuTLS_3.3.8_server_full.dot,37.5,SPY,1626
526,GnuTLS_3.3.8_server_full.dot,50.0,SPY,18406
526,GnuTLS_3.3.8_server_full.dot,56.25,SPY,20659
526,GnuTLS_3.3.8_server_full.dot,62.5,SPY,27594
526,GnuTLS_3.3.8_server_full.dot,68.75,SPY,52970
526,GnuTLS_3.3.8_server_full.dot,75.0,SPY,76892
526,GnuTLS_3.3.8_server_full.dot,81.25,SPY,105082
526,GnuTLS_3.3.8_server_full.dot,87.5,SPY,116718
526,GnuTLS_3.3.8_server_full.dot,93.75,SPY,129530
526,GnuTLS_3.3.8_server_full.dot,100.0,SPY,144987
